『以动物为歌名』丨欢迎来到动物（污）园,http://music.163.com/playlist?id=886485181,66万
是不是想考清华？听完这张歌单再去学习,http://music.163.com/playlist?id=888373875,187万
【怨妇曲风】看起来很美，听起来很丧。,http://music.163.com/playlist?id=889769859,139万
R3HAB Beast Mode,http://music.163.com/playlist?id=893480903,38万
造福处女座|处女座唱给你听,http://music.163.com/playlist?id=889690843,152万
盘点向：那些“一片”歌手的金曲,http://music.163.com/playlist?id=889177381,148万
魅蓝疾速歌单 年轻就要听快歌,http://music.163.com/playlist?id=888290467,102万
欧美 R&B ♫丨2 Moodz,http://music.163.com/playlist?id=889570491,64万
日系| 沉溺于深海，无从寄托的孤独灵魂,http://music.163.com/playlist?id=879101411,99万
小众而惊艳 ·韩国独立音乐精选集,http://music.163.com/playlist?id=884976631,30万
lo-fi hiphop｜孤独的人与寒冷的夜,http://music.163.com/playlist?id=879578103,78万
「欧美伤感」我们曾相恋过 现在却只能怀恋,http://music.163.com/playlist?id=882155440,265万
「暖系后摇」煦色韶光，半窗清梦,http://music.163.com/playlist?id=880767429,40万
[小语种] 芬兰语也可以主流潮,http://music.163.com/playlist?id=878286751,50万
【正能量】温柔也励志的韩语清新小曲,http://music.163.com/playlist?id=878579168,88万
【致爱情】我爱你呀，然而你感受的到吗？,http://music.163.com/playlist?id=883687632,187万
「柔情呢喃」轻吟时光 你是我无法泅渡的海,http://music.163.com/playlist?id=882533652,128万
暑假补作业BGM,http://music.163.com/playlist?id=881279888,531万
【日系】正如鹅毛大雪漫天飘落,http://music.163.com/playlist?id=883147136,18万
父辈的青春，我们的童年,http://music.163.com/playlist?id=877046003,92万
東方告白隐藏向|我喜欢你，你还听得到吗,http://music.163.com/playlist?id=882661588,48万
朴振荣的Party People独家音源！,http://music.163.com/playlist?id=879900087,76万
「粤语」人人路过都像你 但你是你,http://music.163.com/playlist?id=884305905,118万
欧美 Indie♫丨你听起来像夏天一样可爱~,http://music.163.com/playlist?id=882312693,280万
“永远年轻，永远心怀绝望”,http://music.163.com/playlist?id=882430477,194万
你是我生命中一道光，我只愿追随着你,http://music.163.com/playlist?id=883508034,135万
『日摇』穿过黑夜 美若黎明,http://music.163.com/playlist?id=877066421,23万
民谣青年 | 不只是姑娘和远方,http://music.163.com/playlist?id=884989224,175万
听过他们写的歌，却不曾闻其名,http://music.163.com/playlist?id=881367835,347万
『光影留声』岁月浸润，醇醉迷人,http://music.163.com/playlist?id=879411708,131万
这首歌曾陪我去远方,http://music.163.com/playlist?id=885099011,292万
［韩语］那些独特优质的韩式非主打,http://music.163.com/playlist?id=884091743,36万
Stafford Brothers - August Playlist,http://music.163.com/playlist?id=882437427,40万
中国首个大型Hiphop音乐节-MDSK音乐节,http://music.163.com/playlist?id=884900192,17万
a-nation 2017 创造夏日回忆,http://music.163.com/playlist?id=882372582,13万
EDC2017•拉斯维加斯电音节-现场歌单,http://music.163.com/playlist?id=765589947,361万
盛夏七夕甜蜜蜜 小甜歌小情歌系列 陆地夫妇,http://music.163.com/playlist?id=768948803,25万
【 一阵空灵仙气 〗,http://music.163.com/playlist?id=768089183,34万
VOCALOID周刊季军合集,http://music.163.com/playlist?id=774139585,25043
中国流行音乐42年发展史（头条）,http://music.163.com/playlist?id=766895756,11万
『百首血洗B站的可爱元气萌音』,http://music.163.com/playlist?id=759037438,92万
【 低吟始丨沦陷哼唱 〗,http://music.163.com/playlist?id=765421534,94万
【 一管慢性麻药 〗,http://music.163.com/playlist?id=768120921,28万
【 只言片语丨台词爱上了音乐 〗,http://music.163.com/playlist?id=768235856,28642
VOCALOID周刊亚军合集,http://music.163.com/playlist?id=769561721,18277
最佳EDM Drop精选集  第一季,http://music.163.com/playlist?id=769722306,32万
【 一起背单词丨四级词汇 〗,http://music.163.com/playlist?id=760201961,178万
放松 /加油！炒鸡紧张的你不得不听,http://music.163.com/playlist?id=763203574,566万
【 节奏起丨心跳不止 〗,http://music.163.com/playlist?id=757835855,231万
『抖腿向 血洗B站的动感ACG歌曲』,http://music.163.com/playlist?id=760741533,19万
Future Bass丨奇幻跳跃的清新旋律,http://music.163.com/playlist?id=754167915,120万
『华语』答应我，听完这些歌，不许哭,http://music.163.com/playlist?id=761392251,145万
「华语」狭路相逢，歌名大乱斗,http://music.163.com/playlist?id=754024661,804万
"民谣地图｜你在哪座城市,怀念带不走的谁",http://music.163.com/playlist?id=762783889,91万
Hot EDM | 2017热门电子音乐全收录,http://music.163.com/playlist?id=762784040,12万
【迷人节奏】听不腻的风格小心中毒会上瘾!,http://music.163.com/playlist?id=762602593,54万
瞎看BGM-缘 妙不可言-阅后即瞎,http://music.163.com/playlist?id=761488321,26328
【英語科室】手机电量剩1%也要听的冷门,http://music.163.com/playlist?id=753856131,262万
『90后』回忆当年年少青涩的我们。,http://music.163.com/playlist?id=759160379,25433
粤语流行『典藏版』，粤唱越情深。,http://music.163.com/playlist?id=751120659,91万
[记忆]那些90后曾经无限循环的爆火单曲,http://music.163.com/playlist?id=749602987,55万
【 如果生活欺骗了你 请躲到童话里 〗,http://music.163.com/playlist?id=749301950,89202
『欧美 | 摇滚』翻唱魅力vs.原版经典,http://music.163.com/playlist?id=747518410,220万
拉倒吧，朕的小调太清爽,http://music.163.com/playlist?id=753777205,66724
